"day_from_first_ptvisit","count","avg_Efficiency","sd_Efficiency","se_Efficiency","ci_lower_Efficiency","ci_upper_Efficiency","avg_tst","sd_tst","se_tst","ci_lower_tst","ci_upper_tst","avg_waso","sd_waso","se_waso","ci_lower_waso","ci_upper_waso","avg_sfi","sd_sfi","se_sfi","ci_lower_sfi","ci_upper_sfi"
32,39,82.2223076923077,8.55874574601555,1.37049615519661,79.5361352281223,84.9084801564931,481.076923076923,108.361088523846,17.3516610496331,447.067667419642,515.086178734204,105.846153846154,60.3601203573573,9.66535463627648,86.902058759052,124.790248933256,95.8874358974359,19.0207717091147,3.04576105772856,89.9177442242879,101.857127570584
33,40,83.35175,11.0736436658609,1.75089679906085,79.9199922738407,86.7835077261593,488.1,133.023961597053,21.0329351012729,446.875447201505,529.324552798495,97.3,69.7501769136622,11.0284713123433,75.6841962278071,118.915803772193,105.20925,47.2718064393404,7.47432887294649,90.5595654090249,119.858934590975
34,38,84.0276315789474,10.5773785732675,1.71587738399354,80.66451190632,87.3907512515747,480.263157894737,111.853109323943,18.1449703524245,444.699016003985,515.827299785489,96.1052631578947,74.0922687996178,12.0193531394765,72.5473310045209,119.663195311269,98.3460526315789,22.2268458984119,3.60567052889484,91.2789383949451,105.413166868213
35,42,81.4485714285714,9.88086659856695,1.52465081668742,78.4602558278641,84.4368870292788,427.690476190476,120.915105896303,18.6576059008206,391.121568624868,464.259383756085,99.3809523809524,63.8290217579985,9.84903188206242,80.07684989211,118.685054869795,96.5557142857143,13.1595526172856,2.03056305284958,92.5758107021291,100.535617869299
36,37,81.5018918918919,10.0993046619386,1.66031545891098,78.2476735924264,84.7561101913574,435.432432432432,79.8089874292017,13.1205167112267,409.716219678428,461.148645186437,102.675675675676,66.3823328462786,10.9131882948954,81.2858266176808,124.065524733671,101.022972972973,13.2927904153728,2.18532128274965,96.7397432587837,105.306202687162
37,39,80.9369230769231,13.0551694044213,2.09050017434264,76.8395427352115,85.0343034186347,438.410256410256,123.9194810624,19.8429977230066,399.517980873163,477.302531947349,108.410256410256,89.4911692052462,14.3300557066947,80.3233472251347,136.497165595378,98.624358974359,16.9437966904941,2.71317888249757,93.3065283646637,103.942189584054
38,43,83.2527906976744,12.2956179429098,1.87506415764967,79.577664948681,86.9279164466678,470.209302325581,138.839331284065,21.1727995267548,428.710615253142,511.707989398021,93.3255813953488,73.967084355856,11.2798746159392,71.217027148108,115.43413564259,96.0239534883721,20.7546901342616,3.1650605731711,89.8204347649567,102.227472211787
39,43,82.286511627907,10.4237496415228,1.58960691783723,79.170882068946,85.402141186868,458.279069767442,115.011246982403,17.5390507369866,423.902530322948,492.655609211936,103.906976744186,77.1346423172118,11.7629226764916,80.8516482982624,126.96230519011,95.0218604651163,16.3777936556694,2.49759011769199,90.12658383444,99.9171370957926
40,40,82.92375,10.7542916150263,1.70040280625669,79.5909604997369,86.2565395002631,498.025,104.427987087655,16.5115145331822,465.662431514963,530.387568485037,106.8,73.9276153253458,11.6889823206431,83.8895946515395,129.710405348461,92.40475,17.5651610293552,2.77729581601951,86.9612502006018,97.8482497993982
41,38,82.5505263157895,10.4194145572342,1.69025223682509,79.2376319316123,85.8634206999667,462.105263157895,114.584747221761,18.5881005342232,425.672586110817,498.537940204972,99.3684210526316,72.6321427813273,11.7824894217594,76.2747417859832,122.46210031928,98.4571052631579,14.1636065623656,2.29764038488394,93.9537301087854,102.96048041753
42,38,82.7657894736842,9.83903522835197,1.59610227729889,79.6374290101784,85.89414993719,453.947368421053,120.805169785658,19.5971863225725,415.536883228811,492.357853613295,95.4473684210526,68.6245946646508,11.1323792710222,73.6279050498491,117.266831792256,95.8021052631579,17.9321613773771,2.90898070258429,90.1005030860927,101.503707440223
43,43,82.0895348837209,11.9078433442773,1.81592908574691,78.530313875657,85.6487558917849,492.232558139535,120.068202287046,18.3102291911805,456.344508924821,528.120607354249,113.348837209302,85.6982201629177,13.0688560548937,87.7338793417106,138.963795076894,99.6409302325581,38.304406548318,5.84136723605735,88.1918504498857,111.090010015231
44,40,83.15825,8.67061819802356,1.37094511137297,80.471197581709,85.845302418291,454.45,113.910659999574,18.0108567685844,419.148720733575,489.751279266425,93.6,58.3797471028684,9.23064850348402,75.5079289331713,111.692071066829,101.98425,18.4804115127204,2.9220096238697,96.2571111372154,107.711388862785
