"redcap_repeat_instance_dv","avg_dsis","sd_dsis","count"
84,0.897435897435897,1.41039135656649,39
85,0.795918367346939,1.39910078021466,49
86,0.851063829787234,1.50331117731399,47
87,0.822222222222222,1.40273902336706,45
88,0.695652173913043,1.33115764518276,46
89,0.955555555555556,1.73146752726691,45
90,0.772727272727273,1.55314589026537,44
91,1.17391304347826,1.99225553722505,46
92,1.02222222222222,1.75147845195902,45
93,0.979591836734694,1.68930207381588,49
94,0.958333333333333,1.79785135746705,48
95,0.857142857142857,1.59426053914242,49
96,1,1.70433620649269,43
97,0.926829268292683,1.6791403143043,41
98,0.978723404255319,1.81166944031246,47
99,1.06818181818182,1.7171870897072,44
100,1.08695652173913,1.95307264422581,46
101,1.08695652173913,1.88356738317389,46
102,0.851063829787234,1.47410582187917,47
103,1,1.83066964560823,38
104,1.05263157894737,1.85919727550523,38
105,1.15217391304348,1.82534491479583,46
106,0.840909090909091,1.3799761005376,44
107,1.04651162790698,1.8510420279257,43
108,0.833333333333333,1.46350400465158,48
109,1.04,1.57739128478197,50
110,0.931818181818182,1.46902478761881,44
111,1,1.69397910771984,47
112,0.936170212765957,1.7619684560068,47
113,0.782608695652174,1.47441956154897,46
114,0.872340425531915,1.80117137340502,47
115,0.977272727272727,1.8361820394584,44
116,0.739130434782609,1.34056012519967,46
117,1.11904761904762,1.91530906825646,42
118,0.880952380952381,1.51741726904923,42
119,1.08695652173913,1.81139709072579,46
120,0.808510638297872,1.55533161391138,47
121,0.823529411764706,1.55827959433397,51
122,0.952380952380952,1.59193670900636,42
123,1.0952380952381,1.93566682037198,42
124,0.675,1.28875809828588,40
125,0.976744186046512,1.79268848504967,43
126,0.872340425531915,1.60998273386091,47
127,1.23076923076923,2.03213057057622,39
128,1,1.73845397472071,46
129,0.953488372093023,1.63231486767796,43
130,0.863636363636364,1.66483338213613,44
131,0.805555555555556,1.5642331657478,36
132,0.972222222222222,1.84369367011072,36
133,0.617647058823529,1.01547737340631,34
134,0.945945945945946,1.48970440665899,37
135,0.84375,1.48344357449472,32
136,1.07142857142857,1.88421457118465,28
137,0.576923076923077,1.02657009202789,26
138,0.91304347826087,1.67638798607062,23
139,0.684210526315789,1.33552451531005,19
140,0.772727272727273,1.41191589462917,22
141,0.315789473684211,0.671038298207203,19
142,0.7,1.45457535854428,20
143,0.647058823529412,1.3200935795706,17
144,0.769230769230769,1.30088727117598,13
145,1,1.91485421551268,13
146,0.5625,1.31497781983829,16
147,1.36363636363636,1.74772579501061,11
148,1,1.11803398874989,9
149,1.33333333333333,1.73205080756888,9
150,0.833333333333333,1.16904519445001,6
151,1,0.707106781186548,5
152,2,2.54950975679639,5
153,1.8,2.94957624075052,5
154,1.71428571428571,2.49761791275112,7
155,1.5,2.34520787991171,6
156,2.4,2.88097205817759,5
157,2,2.44948974278318,5
158,1.25,1.5,4
159,1.25,1.5,4
160,1,1,3
161,1,1,3
162,1.5,0.707106781186548,2
163,1.5,0.707106781186548,2
164,2,1.4142135623731,2
165,1.5,0.707106781186548,2
166,1.5,0.707106781186548,2
167,2,NA,1
168,1,NA,1
169,2,NA,1
170,2,NA,1
171,3,NA,1
172,2,NA,1
173,NA,NA,0
174,NA,NA,0
NA,NA,NA,0
