"day_from_first_ptvisit","count","avg_Efficiency","sd_Efficiency","se_Efficiency","ci_lower_Efficiency","ci_upper_Efficiency","avg_tib","sd_tib","se_tib","ci_lower_tib","ci_upper_tib","avg_tst","sd_tst","se_tst","ci_lower_tst","ci_upper_tst","avg_waso","sd_waso","se_waso","ci_lower_waso","ci_upper_waso","avg_mi","sd_mi","se_mi","ci_lower_mi","ci_upper_mi","avg_fi","sd_fi","se_fi","ci_lower_fi","ci_upper_fi","avg_sfi","sd_sfi","se_sfi","ci_lower_sfi","ci_upper_sfi"
8,38,82.0615789473684,11.9533119975099,1.93908325945546,78.2609757588357,85.8621821359011,555.315789473684,120.780592960319,19.5931994350392,516.913118581007,593.718460366361,451.736842105263,106.823593964985,17.3290752232954,417.771854667604,485.701829542922,103.578947368421,86.0589463537096,13.9606045785148,76.216162394532,130.94173234231,64.6165789473684,6.96659879646418,1.13013155721028,62.4015210952363,66.8316367995006,33.9921052631579,18.3316850433658,2.97379199945634,28.1634729442235,39.8207375820923,98.6086842105263,18.9871957098622,3.08012987134176,92.5716296626965,104.645738758356
9,42,80.2080952380952,9.16902027856615,1.41481054485311,77.4350665701831,82.9811239060073,593.928571428571,109.221947418591,16.853312376072,560.89607917147,626.961063685673,476.809523809524,105.574673167393,16.2905257408817,444.880093357396,508.738954261652,117.119047619048,60.8990377516004,9.39692553453984,98.7010735713495,135.537021666746,62.9828571428571,6.99976664618509,1.08008744245928,60.865885755637,65.0998285300773,28.1033333333333,9.99648905846122,1.54249174957996,25.0800495041566,31.1266171625101,91.0861904761905,11.4680803999795,1.76956322335145,87.6178465584216,94.5545343939593
10,43,80.6332558139535,10.0517278118953,1.53287412068652,77.6288225374079,83.6376890904991,580.441860465116,119.554789656415,18.2319344990185,544.70726884704,616.176452083193,466.093023255814,104.280257446092,15.902590174445,434.923946513902,497.262099997726,114.348837209302,68.4487586311069,10.4383378322853,93.8896950580231,134.807979360582,63.9151162790698,7.20852417763099,1.09928963129674,61.7605086017281,66.0697239564114,32.1888372093023,16.0354231698067,2.44537910807384,27.3958941574776,36.9817802611271,96.1039534883721,17.4376262773424,2.65921307728897,90.8918958568857,101.316011119858
11,37,82.6235135135135,9.75776192924729,1.60416617953502,79.4793478016249,85.7676792254022,568.756756756757,112.081915828807,18.4261534575002,532.641495980056,604.872017533457,467,98.5235448453256,16.1971709983055,435.253544843321,498.746455156679,101.756756756757,64.0548399617275,10.5305508217147,81.1168771461959,122.396636367318,64.1348648648649,7.34045700273553,1.20676369760824,61.7696080175527,66.500121712177,30.7075675675676,17.5100468629053,2.87863397193099,25.0654449825828,36.3496901525523,94.8424324324324,17.7604523849737,2.9198003861747,89.11962367553,100.565241189335
12,41,81.2612195121951,11.5760222432237,1.80787094143042,77.7177924669915,84.8046465573988,582.634146341463,123.324522317656,19.2600545834637,544.884439357874,620.383853325052,468.414634146341,95.6867220699288,14.9437553484503,439.124873663379,497.704394629304,114.219512195122,83.8169172050374,13.0900032698165,88.5631057862816,139.875918603962,63.8939024390244,6.13803220830943,0.958599580565111,62.0150472611168,65.772757616932,30.1863414634146,17.5540865265182,2.74148772936444,24.8130255138603,35.5596574129689,94.080243902439,18.1994854992943,2.84228211486193,88.5093709573096,99.6511168475684
13,38,80.6015789473684,9.86877098137291,1.60092605341234,77.4637638826802,83.7393940120566,563.657894736842,97.2798349471255,15.7808730724887,532.727383514764,594.58840595892,451.315789473684,81.4464192178756,13.2123538715356,425.419575885474,477.212003061894,112.342105263158,65.4094283293089,10.6108104189313,91.5449168420526,133.139293684263,64.6363157894737,5.96512042924698,0.967670313248589,62.7396819755064,66.5329496034409,31.6455263157895,13.8715003762563,2.2502545042522,27.2350274874552,36.0560251441238,96.2818421052632,15.2122274530229,2.46774915599378,91.4450537595153,101.118630451011
14,39,82.5541025641026,9.85459383070409,1.57799791660965,79.4612266475477,85.6469784806575,562.871794871795,118.808598724605,19.0246015699404,525.583575794712,600.160013948878,458.846153846154,85.5027049315242,13.6913902860261,432.011028885543,485.681278806765,104.025641025641,68.5582684097362,10.9781089485247,82.5085474865326,125.542734564749,64.9523076923077,5.15631981243378,0.825671971993615,63.3339906272002,66.5706247574152,35.3174358974359,22.0209903116321,3.52618052356135,28.4061220712556,42.2287497236162,100.269743589744,21.9388249322111,3.51302353304798,93.3842174649695,107.155269714518
15,35,84.5271428571429,8.94345951336656,1.5117205719428,81.564170536135,87.4901151781507,562.4,101.31929727352,17.1260870353638,528.832869410687,595.967130589313,473.685714285714,91.5779229202462,15.4794942390492,443.345905577178,504.025522994251,88.7142857142857,61.1057768659114,10.3287614613433,68.4699132500529,108.958658178519,62.828,6.78129295323886,1.14624771839807,60.5813544719398,65.0746455280602,33.8997142857143,20.5137584369633,3.46745804469451,27.103496518113,40.6959320533155,96.7277142857143,20.6694396585471,3.49377297405508,89.8799192565663,103.575509314862
16,36,82.7833333333333,10.58387506675,1.76397917779166,79.3259341448617,86.240732521805,552.361111111111,124.965401560998,20.8275669268331,511.539079934518,593.183142287704,454.361111111111,100.576098489162,16.762683081527,421.506252271318,487.215969950904,98,66.8636138504557,11.1439356417426,76.1578861421845,119.842113857816,65.1833333333333,5.70082299822954,0.95013716637159,63.321064487245,67.0456021794216,30.4158333333333,14.4512835564379,2.40854725940631,25.695080704897,35.1365859617697,95.5991666666667,15.4839777788895,2.58066296314824,90.5410672588961,100.657266074437
17,36,82.525,9.25232125314662,1.5420535421911,79.5025750573054,85.5474249426946,567.25,128.894059488514,21.4823432480857,525.144607233752,609.355392766248,465.333333333333,106.032070620167,17.6720117700278,430.696190264079,499.970476402588,101.916666666667,64.6968204120463,10.7828034020077,80.7823719987315,123.050961334602,64.1125,8.06562206439865,1.34427034406644,61.4777301256298,66.7472698743702,28.155,15.934685348097,2.6557808913495,22.949669452955,33.360330547045,92.2675,19.9953000727671,3.33255001212785,85.7357019762294,98.7992980237706
18,38,81.9563157894737,9.88460594603511,1.6034948238834,78.8134659346622,85.0991656442851,585.263157894737,105.69325433243,17.145709921742,551.657566448123,618.868749341351,480.105263157895,107.490738626495,17.4373003783853,445.928154416259,514.28237189953,105.157894736842,58.1421958304691,9.4319096352818,86.6713518516898,123.644437621994,63.1447368421053,6.8339829456803,1.10861842543165,60.9718447282592,65.3176289559513,31.6415789473684,14.2390603862329,2.30988061142145,27.1142129489824,36.1689449457545,94.7863157894737,16.0110422067469,2.5973340205631,89.69554110917,99.8770904697774
19,37,81.9505405405405,11.9027228318066,1.95679557972536,78.1152212042788,85.7858598768023,578.189189189189,107.968575118935,17.7499244103554,543.399337344893,612.979041033486,469.324324324324,93.2329978703457,15.3274104333274,439.282599875003,499.366048773646,108.864864864865,85.503463920138,14.0566828795708,81.313766420906,136.415963308824,63.5372972972973,6.82508227408638,1.12203661413555,61.3381055335916,65.736489061003,34.1651351351351,21.2733536537067,3.4973177972581,27.3103922525093,41.019878017761,97.7024324324324,21.0285140286291,3.45706641084313,90.9265822671799,104.478282597685
20,36,82.9669444444445,9.71632494294141,1.61938749049024,79.7929449630836,86.1409439258053,579.027777777778,125.13592292523,20.8559871542051,538.150042955536,619.90551260002,476.861111111111,102.324177502618,17.0540295837697,443.435213126923,510.2870090953,102.166666666667,68.0837719284118,11.347295321402,79.9259678367188,124.407365496615,63.3047222222222,6.58489331125683,1.0974822185428,61.1536570738783,65.4557873705661,33.1777777777778,19.2957573591578,3.21595955985963,26.8744970404529,39.4810585151027,96.4825,19.0648355993062,3.17747259988436,90.2546537042267,102.710346295773
